gene,log2FC,meanA,meanB,pval,-log10p,qval,sig_type,score
BGENE_782,0.11957775,1.1014363,1.0138247,0.16729232047983,0.7765239947804778,0.6736603509254899,ns,0.09285499255452692
BGENE_806,-0.08992139,1.3400375,1.4262183,0.09438670327631793,1.0250891826135657,0.5778777751611301,ns,0.09217744673770921
BGENE_370,0.11261704,0.8542557,0.7901085,0.15428688768571802,0.811670981569472,0.6781841216954638,ns,0.09140798192942015
BGENE_864,0.07307575,1.792075,1.703563,0.05636473147519453,1.2489925576613394,0.47969984234208113,ns,0.09127106662160482
BGENE_927,0.0778955,1.7572587,1.6648948,0.06833278015138518,1.1653709094420546,0.4999959523272086,ns,0.09077714940359871
BGENE_575,0.06079025,2.217316,2.1258268,0.03227196811985333,1.4911745481527099,0.37967021317474503,ns,0.09064887091438972
BGENE_380,0.11644058,0.9757497,0.9000907,0.16718255309483998,0.7768090468132123,0.6777671071412431,ns,0.09045209541265024
FCGR2A,0.07537518,1.3138791,1.2469964,0.06590698592039806,1.1810685492014361,0.5005593867372005,ns,0.08902325090525992
BGENE_155,0.10602197,0.9126393,0.84797555,0.1447462838134946,0.8393925774451587,0.665500155464343,ns,0.08899405509260876
BGENE_521,0.06536683,2.104217,2.011005,0.043821272859666735,1.3583150118072396,0.4345911357983478,ns,0.08878874232243361
BGENE_1167,0.061106466,2.1853006,2.0946734,0.03526011708504334,1.4527162499123687,0.39917113681181143,ns,0.0887703557797524
BGENE_607,-0.16830772,0.46832526,0.52627575,0.30146779689185776,0.5207590728409764,0.8129468680229872,ns,0.08764777306012002
BGENE_199,0.10544067,1.0604079,0.9856712,0.14915595732735493,0.8263593961220389,0.6629153658993552,ns,0.08713188736464729
BGENE_629,-0.14197251,0.48735064,0.537749,0.24424861291993072,0.6121678939466737,0.7733465316726039,ns,0.08691101367349689
BGENE_950,-0.14050284,0.5250332,0.5787385,0.24500289346229298,0.6108287866261322,0.7716626565741511,ns,0.08582317944608311
BGENE_954,-0.108766794,1.630713,1.7584078,0.16382295928877344,0.7856252332613087,0.6755585950052514,ns,0.08544993806816156
BGENE_732,0.09842169,1.1475666,1.0718894,0.13596070391866572,0.8665865955805869,0.6552323080417625,ns,0.08529091973660466
BGENE_322,0.049735237,2.8571992,2.760379,0.019339670107806056,1.7135509382975562,0.2900950516170908,ns,0.08522386187866375
BGENE_1173,0.056491528,2.0889294,2.008714,0.03137017264724151,1.5034830911352808,0.37271492254148336,ns,0.08493405669894956
BGENE_922,0.10568971,1.0747674,0.99884623,0.1571914546213453,0.8035710671494718,0.6785242645525696,ns,0.08492919455310205
BGENE_204,-0.10449969,1.5238976,1.6383752,0.15440131885015387,0.8113489943701139,0.6737512095279442,ns,0.08478571858388069
BGENE_227,0.05961116,2.6973011,2.5881217,0.03937337680316668,1.404797336947321,0.4108526275113045,ns,0.08374159925319052
BGENE_312,0.067850694,2.2367034,2.1339455,0.06014865818337503,1.2207740566043679,0.48441872362449695,ns,0.0828303670314456
BGENE_376,0.10506271,0.9319894,0.8665306,0.16345311901634152,0.7866067877868118,0.6786980720401724,ns,0.08264303945950298
BGENE_299,0.06417568,2.1464646,2.0530756,0.05225835615691519,1.2818442555962395,0.46451872139480166,ns,0.08226322711555502
CSF1R,0.12959102,0.6190302,0.56584954,0.2348333243051971,0.629240273970681,0.7657608401256427,ns,0.08154388764623502
BGENE_334,0.104332246,1.771285,1.647712,0.16579919440885715,0.7804175839464085,0.679041069251292,ns,0.08142271926230903
BGENE_887,0.07983045,1.5177097,1.4360096,0.09678905075192079,1.0141737694165776,0.5778450791159451,ns,0.08096195123020236
BGENE_288,0.16392173,0.42463595,0.379028,0.3222154655655982,0.4918536183283287,0.8244318948373515,ns,0.08062549539858446
BGENE_392,0.07660947,1.7957466,1.7028769,0.0889362730062674,1.0509210741981563,0.5617027768816888,ns,0.08051050645381463
BGENE_995,0.12505364,0.7342249,0.6732621,0.22710631559741956,0.6437707883211224,0.7591297457295361,ns,0.08050588309637949
BGENE_713,0.09285197,1.0545682,0.98883396,0.13600759537094184,0.8664368376916937,0.6528364577805208,ns,0.08045036433124698
BGENE_160,0.046952784,2.1662643,2.0968976,0.020198355174988025,1.6946839952816528,0.29923489148130406,ns,0.07957013168282409
BGENE_65,0.13012889,0.5031622,0.45976427,0.24634972415129053,0.6084479196875882,0.7718529216228424,ns,0.07917665257965936
BGENE_733,0.04371537,2.7490504,2.6670003,0.01559562396163384,1.8069972449739375,0.25992706602723065,ns,0.07899355126710288
BGENE_797,0.10950884,0.9003075,0.83449817,0.19219700081426594,0.7162533936704769,0.7096504645449819,ns,0.07843607988404999
BGENE_89,-0.058508873,1.7121559,1.7830201,0.04781368295341698,1.3204478025342345,0.44477844607829753,ns,0.07725791276290686
BGENE_225,0.07734074,2.1912818,2.0769036,0.10036106969637669,0.998434718414044,0.5846275904643302,ns,0.07721967695375939
BGENE_533,-0.13882779,0.4811375,0.5297374,0.27887129456788584,0.5545961872483531,0.8025073224975132,ns,0.07699336071630307
BGENE_1127,0.07351955,1.7930853,1.703999,0.09006225405676,1.0454571878176506,0.56288908785475,ns,0.07686154226849616
BGENE_866,0.081672296,1.4337208,1.3548112,0.1146755987765981,0.9405289835291516,0.631241828128063,ns,0.07681516147165522
BGENE_191,0.06527149,1.5583034,1.4893725,0.06831457377331847,1.1654866369603636,0.5029293774722832,ns,0.07607304857950828
BGENE_1113,0.03829008,4.0472865,3.9412816,0.01050025917668731,1.978799981157111,0.2100051835337462,ns,0.07576840895535412
BGENE_941,0.055106316,2.4870164,2.3938117,0.04253384172644328,1.3712653893234823,0.42891268967841967,ns,0.07556538353729371
BGENE_223,0.062795356,2.4874964,2.381547,0.062892012242221,1.2014045097123445,0.49327068425271375,ns,0.07544262378650209
BGENE_1187,0.22609052,0.1975506,0.16889545,0.4657444432405792,0.33185231793327624,0.8843248922289478,ns,0.07502866333060303
BGENE_503,-0.10330073,1.4338233,1.5402538,0.1881257655769668,0.7255517196990215,0.7032738900073525,ns,0.07495002077679394
BGENE_125,0.09541634,1.089353,1.0196366,0.17102789607352076,0.7669330467850076,0.6773382022713693,ns,0.07317794224148388
BGENE_953,-0.14295366,0.50035155,0.55246997,0.3080643479171855,0.5113585593875316,0.8160644977938688,ns,0.07310057971514448
BGENE_185,0.08087168,1.8859502,1.7831398,0.12794755646213463,0.8929680038381065,0.653349224487496,ns,0.07221582166436608
BGENE_856,-0.09100871,1.7011487,1.8119185,0.16314167059891216,0.7874350947555069,0.6797569608288007,ns,0.07166345051383086
BGENE_1082,0.07886257,1.4556149,1.3781817,0.12364709361772577,0.9078160874759026,0.6507741769353989,ns,0.07159270995103566
BGENE_736,0.04972693,3.1394749,3.0331068,0.03824151169935792,1.4174649482549073,0.40973048249312055,ns,0.07048617957270567
BGENE_741,0.10086073,0.9851975,0.91867346,0.20007613280210867,0.6988047155145379,0.7145576171503881,ns,0.07048195360396448
BGENE_308,0.1206005,0.9117796,0.8386591,0.260531175239638,0.5841403014452244,0.7855211313757928,ns,0.07044761196457558
BGENE_650,0.048955426,2.3796206,2.3002267,0.036530806908394706,1.4373407347962164,0.40217402100985,ns,0.07036562743302592
BGENE_57,0.20384532,0.25415298,0.22066396,0.4530832847047075,0.34382195965796847,0.8898526049846955,ns,0.07008649812257212
BGENE_516,-0.07840346,1.4778438,1.5603799,0.12774360369228527,0.8936608364041316,0.6550954035501809,ns,0.07006609985256758
BGENE_770,0.067818046,2.2558563,2.152267,0.09315543029287088,1.0307918237791152,0.573264186417667,ns,0.06990628692580639
BGENE_267,0.06497148,2.4821057,2.3728042,0.08489424603664807,1.0711217443757957,0.556683580568184,ns,0.06959236155749944
BGENE_347,0.0791265,1.6914656,1.6011932,0.13200387780137174,0.8794133105895978,0.6491993990231397,ns,0.06958489696267339
BGENE_462,0.14961332,0.4842529,0.43655002,0.3429461689780281,0.46477404424446633,0.8247202460393461,ns,0.06953638819383465
BGENE_528,-0.10924728,0.6885984,0.7427673,0.2312225137852748,0.6359698815980462,0.7643719463976026,ns,0.06947798109219512
BGENE_790,0.09049981,1.5792298,1.4832084,0.17075085558086178,0.7676371115227627,0.6784802208511064,ns,0.06947101341302842
BGENE_837,0.053424135,2.6665413,2.5696032,0.05031545648033821,1.29829858287691,0.4574132407303474,ns,0.0693604785678317
BGENE_512,0.07283442,1.8030953,1.7143258,0.11244835934417292,0.949046876670949,0.6247131074676274,ns,0.06912327618051987
BGENE_374,0.120207496,0.5458747,0.5022349,0.2680036453374641,0.5718592987354707,0.7882460156984239,ns,0.06874177435811023
BGENE_257,-0.12092058,0.7266388,0.79016787,0.27060660925454927,0.5676616004666764,0.7881745900617939,ns,0.06864197201901384
BGENE_1069,0.129967,0.53082764,0.485098,0.30119815001850436,0.5211476999322353,0.8140490541040658,ns,0.06773200523334087
BGENE_748,0.095805526,1.1852747,1.1091204,0.19654032771819274,0.7065483241256347,0.7082534332187126,ns,0.06769123368163937
BGENE_41,0.09920332,1.6384876,1.5296073,0.20819706369723745,0.6815253998450765,0.7262688268508283,ns,0.06760958120953156
BGENE_245,-0.2534007,0.124624826,0.14855468,0.5426177252118829,0.2655060236301199,0.917100380639802,ns,0.06727941574818558
BGENE_1041,0.08380262,1.3906438,1.312166,0.157803531446557,0.8018832820480706,0.6763008490566729,ns,0.06719991843529374
BGENE_382,0.16223027,0.4406953,0.39382392,0.3878836620423519,0.41129851283171376,0.8556257250934234,ns,0.06672506801436111
BGENE_107,0.07863637,1.3861952,1.3126607,0.1432631028216598,0.843865647036587,0.666340013123999,ns,0.06635853175636171
BGENE_1031,0.040981453,3.4159882,3.3203182,0.024117691191705915,1.6176642699437926,0.33265780954077123,ns,0.06629423210627555
NKG2A,-0.11967016,0.6854553,0.744738,0.2834767787892397,0.5474825108689185,0.798526137434478,ns,0.06551731973571714
BGENE_541,-0.083391756,1.0219707,1.0827842,0.1669002013582911,0.777543139361844,0.678916073321862,ns,0.06484068761665093
BGENE_461,0.12283036,0.6566835,0.60308766,0.29832912257822075,0.5253043491935234,0.8099433192168889,ns,0.06452332291347249
BGENE_1048,0.11089553,0.76610684,0.7094249,0.26232370045080766,0.5811624699509542,0.783055822241217,ns,0.06444831976645153
BGENE_904,0.081625655,2.304409,2.1776485,0.16422980387272912,0.7845480257615913,0.674917002216695,ns,0.06403924671198388
BGENE_1109,0.10202839,0.74530447,0.6944166,0.23797452099910843,0.6234695386654816,0.7676597451584143,ns,0.06361159465019658
BGENE_735,0.06502343,1.7012197,1.6262465,0.10594974316749206,0.9749000917240801,0.5997155273631626,ns,0.06339134757074184
BGENE_823,0.055630144,2.9247108,2.8140807,0.07421778016789243,1.1294920394139714,0.523890212949829,ns,0.06283380449655986
BGENE_378,0.097882636,1.4855802,1.388131,0.2284433829383523,0.6412214171441921,0.7593685859446614,ns,0.06276444250011654
BGENE_362,0.12417339,0.6530564,0.59919846,0.31892899105925887,0.4963060010305128,0.8265978170002389,ns,0.06162799757566158
BGENE_449,-0.11175796,0.9856689,1.0650588,0.28106591559244465,0.5511918173866249,0.8030454731212704,ns,0.06160007112045451
BGENE_318,0.058370493,2.1729612,2.0867994,0.08874685674474449,1.0518470199358212,0.5664692983707095,ns,0.06139682948491946
BGENE_323,0.09975632,1.2428327,1.1597997,0.24323057423944117,0.6139818348725671,0.772160553141083,ns,0.06124857011356754
BGENE_1077,0.08318194,1.1335486,1.0700396,0.1843442256804938,0.7343704614990028,0.697833030967169,ns,0.061086359680231385
BGENE_460,0.08554475,0.9853905,0.92866015,0.19340162568552322,0.7135398796672638,0.7097307364606357,ns,0.06103959068853415
BGENE_668,0.046204783,2.005053,1.9418552,0.04780401912910151,1.3205355884880312,0.451691519330093,ns,0.061015060339451685
BGENE_167,-0.079084575,1.4779673,1.5612471,0.17051169322831594,0.7682458329154652,0.6797808367906283,ns,0.060756395327035466
BGENE_88,0.0714388,2.5968895,2.4714296,0.1422971094874975,0.8468039217455088,0.6670177007226445,ns,0.060494653310480075
BGENE_690,0.06694419,1.6192344,1.545815,0.12637691719188482,0.8983322429179305,0.6536737096131973,ns,0.060138123786785964
BGENE_989,-0.09429781,1.3440856,1.4348729,0.23370235691220576,0.6313369076813558,0.7662372357777238,ns,0.059533688643431684
BGENE_976,0.14563398,0.47624606,0.4305178,0.390334488800292,0.40856307404820086,0.8578779973632791,ns,0.05950066681281592
BGENE_472,-0.10858107,0.6595188,0.71107167,0.28541809729292766,0.5445184933612521,0.8002376559614794,ns,0.059124402594511766
BGENE_778,0.06625067,1.3159283,1.2568654,0.12914264497196656,0.8889303230489143,0.6538868099846409,ns,0.058892226797159525
BGENE_1140,-0.117772475,0.6266196,0.6799188,0.32078765837622725,0.49378234862417797,0.8242937688468366,ns,0.05815396925199084
BGENE_218,0.0683609,1.8019236,1.7185322,0.14351277140368018,0.8431094487325012,0.6649240373915685,ns,0.057635722711202785
BGENE_1074,0.09503574,0.9349311,0.8753283,0.2502431258569474,0.6016378436923978,0.7779579042184893,ns,0.05717709723188989
BGENE_914,0.071154624,1.6540995,1.5744973,0.15772456474101315,0.8021006624056499,0.6783852246925297,ns,0.05707317122306218
BGENE_619,-0.09851445,1.0779355,1.1541137,0.26367243169878574,0.5789352755420898,0.785128828879759,ns,0.05703349174733363
BGENE_1024,-0.1264439,0.45028868,0.49153507,0.35478711176375244,0.4500321650284398,0.8364332693840921,ns,0.05690381879421794
BGENE_311,0.08242829,1.1635216,1.0989074,0.20562729455288487,0.6869192384756946,0.7214992791329293,ns,0.056621579184824335
BGENE_643,0.14960061,0.3131804,0.282332,0.4183443109170396,0.37846613262815904,0.8670348412788386,ns,0.05661876435735797
BGENE_75,-0.11387216,0.68508047,0.74134535,0.323062058845468,0.49071404353481063,0.8248392991799184,ns,0.05587866955066751
BGENE_263,-0.12555073,0.5657903,0.61723435,0.3628084016539569,0.44032266441871204,0.8421084757925498,ns,0.0552828328412529
BGENE_545,0.14651197,0.3503066,0.3164781,0.42114611335099117,0.37556720294586476,0.8653687260636805,ns,0.05502509150354393
BGENE_807,-0.087856404,1.0033917,1.0663947,0.2398478510797698,0.6200641682482354,0.7675131234552633,ns,0.05447660837122932
BGENE_1083,0.057334382,1.72786,1.6605393,0.11284708060158695,0.947509671810157,0.6240391554004808,ns,0.054324881554684186
BGENE_658,0.034142386,3.7218628,3.6348162,0.02626639007642348,1.5805996104121687,0.3463699790297602,ns,0.053965442276064333
BGENE_146,0.09118161,1.1650571,1.0937014,0.2580384168831529,0.5883156312525655,0.7819345966156148,ns,0.05364356850775483
ITGAM,0.058448613,1.8866417,1.8117349,0.12114808833666489,0.9166834344475476,0.6461231377955461,ns,0.05357887501933798
BGENE_409,-0.32509926,0.04786289,0.059960518,0.6870498393479616,0.16301175760026315,0.9476549508247746,ns,0.05299500170437635
BGENE_427,0.036040265,2.8142896,2.744856,0.03526895119362459,1.452607454922641,0.39553963955466825,ns,0.05235235778069968
BGENE_241,-0.110714965,0.6936402,0.74896723,0.3370262907365734,0.4723362193765457,0.8287531739423937,ns,0.0522946877927478
BGENE_673,-0.12180396,0.36314768,0.3951391,0.3800520435965309,0.42015692785906616,0.85887467479442,ns,0.051176778346515496
BGENE_40,0.11869969,0.5021399,0.4624795,0.37246721883878897,0.4289119438657476,0.8529783637529518,ns,0.050911715713347315
BGENE_26,-0.06874588,1.3916965,1.4596176,0.1821184260838814,0.7396461116366293,0.6915889598122079,ns,0.05084762380866558
BGENE_470,0.06984913,2.1533008,2.0515306,0.18784508448190873,0.7262001650419802,0.7044190668071577,ns,0.05072445226957831
BGENE_621,0.16992745,0.27419972,0.24373257,0.5034862608826121,0.29801237596295166,0.8937625932827433,ns,0.05064048253001872
CD14,0.051474325,2.64179,2.5491943,0.10402811226645292,0.9828492823129278,0.5972905967451843,ns,0.05059150373650521
ARG1,0.1035313,0.88681674,0.8254064,0.32562926315253304,0.4872765735168584,0.8296286959300204,ns,0.05044837761353594
BGENE_868,-0.08520987,1.1660717,1.2370179,0.25619697877854275,0.5914259960103176,0.7842764656486002,ns,0.050395331553528454
BGENE_858,0.14487137,0.49141204,0.44446245,0.45534338149924825,0.3416609715933422,0.884161905823783,ns,0.049496892690049504
BGENE_317,-0.10565913,0.65365416,0.7033227,0.3414792186822885,0.4666357209318652,0.8311867391860978,ns,0.049304323010528436
BGENE_304,0.09551856,0.7130606,0.66737884,0.30690534257933144,0.5129955513448887,0.8165995811423452,ns,0.049000595949426705
BGENE_923,0.08748113,0.970624,0.9135169,0.2772569268094498,0.5571175949081351,0.8036432661143472,ns,0.04873727877324947
BGENE_530,-0.11046679,0.73861164,0.79738855,0.3623306331380962,0.44089494711246935,0.8442655529431369,ns,0.048704250936565045
BGENE_744,0.10250599,0.9649992,0.89881337,0.33565972361683827,0.474100767361914,0.8287894410292304,ns,0.048598168220803616
BGENE_391,0.10444487,0.6292407,0.5852962,0.3429100383497903,0.4648198011606194,0.8262892490356392,ns,0.04854804317697415
BGENE_505,0.05789623,1.8309199,1.7588987,0.14514555502208654,0.8381962595838659,0.659752522827666,ns,0.04852840373997745
BGENE_348,-0.056360904,2.7489743,2.8584921,0.13853156668757885,0.8584512542084026,0.6570667194667772,ns,0.048383088836451205
BGENE_37,0.04354517,1.9668424,1.9083637,0.0785993137469187,1.1045812457828246,0.5359044119108093,ns,0.04809917991414722
BGENE_457,0.06395375,1.5406171,1.4738141,0.17749663732129894,0.7508098702519168,0.6826793743126882,ns,0.04801710661610868
LYZ,0.1196311,0.62800324,0.5780285,0.39907918606438797,0.3989409222112231,0.8597756252733673,ns,0.04772574005089429
BGENE_764,0.07005099,2.0598135,1.9621872,0.2098896403721111,0.6780089965784275,0.7279409492674374,ns,0.04749520284380827
BGENE_372,0.03207365,3.6380572,3.5580692,0.03370466111401834,1.4723100351488874,0.38519612701735245,ns,0.047222357508434176
GZMB,-0.083771,0.9288653,0.9843972,0.2742918497409663,0.5617870967524213,0.7969738975524445,ns,0.047061465658634734
BGENE_601,-0.17225909,0.11734728,0.13222957,0.5340035627950753,0.2724558454113693,0.9154346790772719,ns,0.04693299663081937
BGENE_657,0.14413075,0.47856516,0.4330652,0.47579079562636706,0.3225839638274278,0.8824558806053175,ns,0.046494269125261424
PGLYRP1,0.06733637,1.2075363,1.1524708,0.20496419092250573,0.6883220074476014,0.7212816102844776,ns,0.04634910745903438
BGENE_489,0.05223702,2.1052082,2.0303464,0.1307781807579569,0.8834647083578391,0.6484868467336706,ns,0.04614956270581282
BGENE_564,0.08279388,1.0195205,0.96265906,0.2788230017794535,0.5546714015430722,0.8042971205176545,ns,0.04592339553338024
BGENE_1055,0.06808695,1.4603441,1.3930252,0.2143524519609643,0.6688715442642601,0.7412764909312887,ns,0.04554142470912545
BGENE_1043,-0.09751475,1.1012168,1.1782236,0.3446338605741276,0.46264205498415417,0.8254703247284493,ns,0.04511442367121612
BGENE_620,0.13606052,0.4168943,0.37937397,0.4671184594997121,0.3305729700051798,0.885532624644004,ns,0.04497793052959869
BGENE_407,-0.10060942,0.66029847,0.70798945,0.357772048244521,0.4463935926880327,0.8401691935292079,ns,0.044911401224338655
BGENE_683,-0.08232791,1.2313012,1.3036094,0.28511711683431074,0.5449767093003468,0.8012659021104751,ns,0.04486679334873763
BGENE_1013,0.041620053,2.8483667,2.7673686,0.0844185025770308,1.073562355667755,0.5566055114969064,ns,0.04468172251843716
BGENE_606,-0.085142,1.0096501,1.071029,0.299302333370869,0.5238898973724966,0.8107512416366655,ns,0.0446050344329881
BGENE_623,0.09464458,0.9765385,0.91453105,0.33794895261234137,0.47114889520476205,0.8293225830977702,ns,0.044591687566102954
BGENE_1117,0.082147576,1.0793886,1.0196449,0.29058493282402365,0.5367269081420165,0.8053162110596499,ns,0.04409081443214427
BGENE_384,0.027549347,4.382047,4.2991624,0.02544471782967652,1.594402360891843,0.34307484714170594,ns,0.043924743752621544
BGENE_319,-0.08111829,0.93910515,0.9934209,0.28777031025248845,0.5409540149812175,0.8030799355883399,ns,0.04388126634441466
BGENE_494,0.027640289,3.201557,3.1408029,0.026401767525004945,1.5783669973475751,0.3443708807609341,ns,0.04362651947444111
BGENE_360,-0.07882135,1.4308509,1.5112001,0.2798732850608281,0.5530385545684329,0.8015464011288632,ns,0.043591247471996546
BGENE_1114,0.0822215,1.629337,1.5390749,0.2958085122345301,0.5289893328296792,0.8067504879123548,ns,0.04349429673371128
BGENE_93,0.09857783,0.37806886,0.35309857,0.3639872705688826,0.4389138043134706,0.8415890648991504,ns,0.04326716916397708
BGENE_56,0.13421886,0.47059014,0.42878425,0.4761448998425267,0.3222608631916979,0.8817498145231977,ns,0.04325348461426795
S100A9,0.081734866,2.1531122,2.0345201,0.2956889333844356,0.5291649293122693,0.8082613213241975,ns,0.04325122453836091
BGENE_761,0.07929287,1.6987842,1.6079357,0.28737511735081345,0.5415508383766869,0.8038464821001775,ns,0.04294112079874751
BGENE_1162,0.080865175,1.2651592,1.196196,0.2953580921827865,0.5296511258991855,0.8110519693806495,ns,0.04283033073687439
BGENE_1097,0.07760103,1.0455438,0.9907908,0.28201563941593466,0.5497268068448021,0.8000443671374033,ns,0.04265936668755699
BGENE_583,0.06383282,1.7068491,1.6329749,0.21575949015923224,0.6660300927940125,0.739746823403082,ns,0.042514578669461095
BGENE_238,0.10799268,0.5301129,0.49188012,0.40523799547269146,0.3922898415681285,0.8576465512649555,ns,0.04236443088862426
CLEC9A,-0.05262569,2.2003264,2.2820704,0.15823962598993768,0.8006847522300745,0.6733601105954795,ns,0.04213658728278474
CD83,-0.08280732,1.8744354,1.9851713,0.3105340229011957,0.5078908104672007,0.815406624685853,ns,0.04205707553478082
BGENE_476,-0.11070809,1.0976282,1.185173,0.41700466153200544,0.3798590901909626,0.8687597115250113,ns,0.04205347346394085
BGENE_1184,0.06415775,1.0708222,1.0242453,0.22222199302722934,0.6532129616971177,0.7490628978445932,ns,0.04190867175877677
BGENE_934,0.037829608,2.5474465,2.4815168,0.07870126505260272,1.1040182866885968,0.5335678986617134,ns,0.04176457870681456
BGENE_540,-0.08747608,0.9657199,1.0260869,0.334402434940658,0.475730568920098,0.8325371824248747,ns,0.04161504632629762
BGENE_609,0.04729818,2.526483,2.4449964,0.13302314837995596,0.8760727775373454,0.6488934067314924,ns,0.041436649503774584
BGENE_70,0.10087789,0.53211826,0.49618182,0.39160407035527134,0.407152802763571,0.8590948526989499,ns,0.041072715039927134
BGENE_295,-0.12728746,0.11951234,0.13053603,0.4767941543813614,0.3216690777969321,0.8788832338826937,ns,0.04094444063042844
BGENE_68,0.111116245,0.6354591,0.58835334,0.4296228934661448,0.36691258428916024,0.8693886545689271,ns,0.04076994875218085
BGENE_981,0.051661346,2.8313894,2.7317944,0.16262884881563178,0.7888024121852457,0.682358806219434,ns,0.04075059442650744
BGENE_925,0.053320717,1.6543189,1.5942929,0.17540197320668383,0.7559655252917901,0.6878508753203287,ns,0.04030862388613155
BGENE_1066,-0.077673934,0.93608516,0.9878649,0.3038267052371242,0.5173740559261678,0.8138215318851542,ns,0.04018647848031333
KLRD1,0.08521471,1.0043956,0.9467876,0.3417327335749898,0.4663134194157109,0.8301200005870197,ns,0.03973676360934075
BGENE_256,0.052707836,2.2729938,2.19145,0.176593156764548,0.7530261299599147,0.6902664108060508,ns,0.03969037778567376
BGENE_895,0.051082786,2.3211856,2.2404354,0.16749024070153473,0.7760104933014634,0.6722016349225474,ns,0.03964077809703454
BGENE_1058,0.081904024,0.77720094,0.7343071,0.3283162483085189,0.4837076235877069,0.8259528259333808,ns,0.03961760075603576
BGENE_783,0.06637156,1.1250342,1.0744492,0.2531316214536291,0.5966535989546904,0.7808687551268764,ns,0.03960083019995787
BGENE_129,0.06472616,1.3616503,1.3019104,0.245918475730998,0.6092088417102542,0.7725187719298368,ns,0.03943174833846077
BGENE_35,0.08438054,0.92785394,0.875142,0.34124996436106647,0.46692738530735745,0.8323169862465035,ns,0.039399583639011346
BGENE_183,0.031741247,2.7007866,2.6420145,0.0588117428189723,1.2305359505852498,0.48671787160528807,ns,0.0390587450344071
BGENE_485,0.12986407,0.12871587,0.117635615,0.5020338939338875,0.29926696123834623,0.8938288912769511,ns,0.0388640246570263
BGENE_531,0.08822406,0.9059291,0.85218936,0.3637347640160201,0.4392151891877547,0.8426287969483091,ns,0.03874934756987754
BGENE_718,0.08538752,0.81400824,0.76722825,0.3531085455378733,0.4520917720006673,0.8357598710955582,ns,0.03860299544600632
BGENE_997,0.03355844,2.172188,2.1222441,0.07126835678947764,1.1471032544693498,0.5121079529782824,ns,0.038494995123352416
BGENE_771,0.123883955,0.338955,0.31106356,0.489627906239681,0.3101338376343035,0.8822124436751009,ns,0.03842060644148949
BGENE_71,0.053817693,2.3921072,2.304517,0.19361306663944056,0.7130653361913073,0.7083404877052704,ns,0.038375531454826174
BGENE_909,0.06901291,1.267801,1.208582,0.2790290652888845,0.5543505557331494,0.8010403788197642,ns,0.038257345082019
CLEC10A,0.10314099,0.58833164,0.54773897,0.4287512647362033,0.3677945858596243,0.872036470649905,ns,0.03793469676647517
BGENE_523,-0.10161773,0.7180819,0.7704847,0.4238032162096055,0.37283575178571443,0.8678564154462911,ns,0.03788672318954715
BGENE_686,-0.07842398,1.1742148,1.2398112,0.3292031969466549,0.48253595593379706,0.8264515404518533,ns,0.03784238866069975
BGENE_498,0.18261652,0.2662736,0.23461449,0.6209904538958742,0.20691507591393662,0.9361665134108655,ns,0.03778611046738162
BGENE_428,0.06955187,1.0694693,1.0191336,0.2887535661747377,0.5394726434272583,0.8039542445700354,ns,0.037521331286593816
BGENE_175,-0.09401436,0.6066554,0.6475052,0.40448057719301067,0.3931023279958899,0.8590737922683412,ns,0.03695726437098808
IRF8,0.1100697,0.40890476,0.3788679,0.4636291259589238,0.333829288744013,0.8859155273100454,ns,0.03674448952487388
BGENE_822,-0.07644573,1.7479926,1.8431134,0.3310301876152525,0.48013239982874123,0.8275754690381312,ns,0.03670407110076861
BGENE_969,-0.0911952,0.66996855,0.71368563,0.39625573481007803,0.40202443940296434,0.8614255104566915,ns,0.03666270050860938
BGENE_215,0.029821021,2.6563826,2.6020377,0.059437774405728915,1.2259374607112548,0.4885296526498267,ns,0.03655870735188603
BGENE_696,0.11536788,0.39974844,0.36902645,0.48275313089768657,0.316274900920542,0.8830849955445486,ns,0.0364879654343244
CEACAM8,0.07137807,1.8313181,1.7429175,0.3096926482266036,0.5090691042089711,0.8167718194987348,ns,0.03633636869699503
BGENE_901,-0.0532512,2.0945609,2.1733177,0.20884507018755538,0.6801757718501911,0.7264176354349752,ns,0.03622017567034913
BGENE_784,0.074238665,1.2380219,1.1759267,0.32697175031024217,0.48548976787291465,0.8312841109582427,ns,0.03604211243318068
BGENE_224,0.10503393,0.45418337,0.42229193,0.455118567717702,0.34187544598592856,0.8851576681705711,ns,0.035908520522517855
BGENE_615,-0.0689591,1.1998283,1.2585714,0.30305803228647255,0.5184742009083401,0.813578610165027,ns,0.03575351532272974
BGENE_280,0.027749784,4.0978227,4.0197554,0.05194441700855525,1.2844611236154426,0.46517388365870377,ns,0.035643519110235
BGENE_302,0.06629814,1.5574181,1.4874675,0.29073883887446006,0.5364969483390569,0.8038861904362951,ns,0.035568750904075706
TCN1,0.15045433,0.25330046,0.22821519,0.5814861059204197,0.23546065788167586,0.937880816000677,ns,0.03542607492584295
BGENE_345,0.06430267,1.1205587,1.0717107,0.282105768366947,0.5495880335031866,0.7984125519819254,ns,0.03533997684162256
BGENE_356,0.042393647,1.617201,1.5703709,0.14721125453696754,0.8320589862182403,0.6591548710610488,ns,0.03527401505666283
BGENE_1196,-0.08416602,0.8390651,0.88947177,0.381032196410548,0.4190383258134457,0.8594711197230406,ns,0.03526878817611223
