,n_counts,n_genes,pct_counts_mito,cell_type
cell_00590,13835,1006,7.887193601738329,B cells
cell_00591,16020,1036,39.279615411526855,B cells
cell_00592,23088,1081,13.195431488603592,B cells
cell_00593,11810,977,8.28143858247383,B cells
cell_00594,17414,1064,9.185984520147722,B cells
cell_00595,9666,973,10.137191455087645,B cells
cell_00596,16603,1037,10.655828705622717,B cells
cell_00597,16997,1032,13.59272255274075,B cells
cell_00598,13114,1008,15.59659437803686,B cells
cell_00599,9738,951,6.228121682823866,B cells
cell_00600,8305,920,32.94705027715355,Monocytes
cell_00601,14106,1008,7.6313197417018,Monocytes
cell_00602,8390,895,6.759709863587983,Monocytes
cell_00603,16831,1040,4.933146850329593,Monocytes
cell_00604,13522,1018,4.860498181176777,Monocytes
cell_00605,21031,1068,6.7032267889703485,Monocytes
cell_00606,21320,1082,4.4956004645321945,Monocytes
cell_00607,12245,979,6.973429796832632,Monocytes
cell_00608,8876,893,11.38528802401277,Monocytes
cell_00609,12833,989,6.957493229311138,Monocytes
cell_00610,17810,1053,5.983457613203817,Monocytes
cell_00611,14192,1005,10.6324548481284,Monocytes
cell_00612,19575,1081,11.601388447920021,Monocytes
cell_00613,10376,959,27.973009338343406,Monocytes
cell_00614,8654,915,10.940561881082077,Monocytes
cell_00615,16070,1061,14.980323515508909,Monocytes
cell_00616,19552,1069,6.384254884285015,Monocytes
cell_00617,18207,1064,7.8779217468446445,Monocytes
cell_00618,17179,1050,11.338792222991584,Monocytes
cell_00619,13127,1004,11.224724217890484,Monocytes
cell_00620,9947,940,4.6011486065294775,Monocytes
cell_00621,18280,1080,13.055869014206628,Monocytes
cell_00622,18926,1086,8.60442456753259,Monocytes
cell_00623,12107,1000,11.978735799595414,Monocytes
cell_00624,16118,1050,9.84433716812277,Monocytes
cell_00625,15311,1048,11.858650132460594,Monocytes
cell_00626,18492,1053,7.144036429321465,Monocytes
cell_00627,14709,1012,9.679280358457296,Monocytes
cell_00628,10772,948,11.259536526128084,Monocytes
cell_00629,15204,1009,7.370355474969684,Monocytes
cell_00630,14034,1012,9.258820064124457,Monocytes
cell_00631,19462,1081,10.66017646607687,Monocytes
cell_00632,18187,1046,51.92746797562041,Monocytes
cell_00633,13066,978,7.577525163697199,Monocytes
cell_00634,16021,1037,11.397789690807075,Monocytes
cell_00635,11544,966,39.775533614901235,Monocytes
cell_00636,19243,1059,35.61920803515613,Monocytes
cell_00637,12288,1010,8.903940044253428,Monocytes
cell_00638,14159,1006,6.077979220467661,Monocytes
cell_00639,16238,1059,10.353678979537042,Monocytes
cell_00640,9150,933,5.085374548971329,Monocytes
cell_00641,17336,1073,8.98694501996444,Monocytes
cell_00642,13654,1015,7.236157892182899,Monocytes
cell_00643,14907,1022,6.48443627631998,Monocytes
cell_00644,14224,1019,9.226774145895615,Monocytes
cell_00645,16896,1052,8.90775548039828,Monocytes
cell_00646,18014,1065,5.7629557384134635,Monocytes
cell_00647,19871,1094,10.814182829125683,Monocytes
cell_00648,19704,1088,9.407318226736352,Monocytes
cell_00649,15079,1017,7.860617582391994,Monocytes
cell_00650,20826,1086,12.115445014579933,Monocytes
cell_00651,8793,931,8.35077447937107,Monocytes
cell_00652,15622,1028,12.101692384624895,Monocytes
cell_00653,14774,1033,7.168175124960867,Monocytes
cell_00654,9984,975,5.538927894932639,Monocytes
cell_00655,12376,995,8.94881353468799,Monocytes
cell_00656,11890,987,8.980782303304721,Monocytes
cell_00657,16991,1071,7.204707801774424,Monocytes
cell_00658,12054,972,7.058976381919478,Monocytes
cell_00659,11904,993,10.349679571958111,Monocytes
cell_00660,11099,968,7.602362808322788,Monocytes
cell_00661,15425,1023,9.26738122913263,Monocytes
cell_00662,18682,1075,10.176902753122558,Monocytes
cell_00663,16129,1038,9.309320685542893,Monocytes
cell_00664,18848,1059,18.570911263120845,Monocytes
cell_00665,14719,1049,7.76151646102981,Monocytes
cell_00666,21103,1072,39.00443729166875,Monocytes
cell_00667,17070,1045,9.258395724837026,Monocytes
cell_00668,17123,1061,9.647503885567854,Monocytes
cell_00669,17864,1038,6.211841239877119,Monocytes
cell_00670,13308,1004,9.628899919788477,Monocytes
cell_00671,10833,934,9.562671750425228,Monocytes
cell_00672,19940,1084,9.402692873173354,Monocytes
cell_00673,12357,973,9.656952330915104,Monocytes
cell_00674,12600,983,5.847792023608003,Monocytes
cell_00675,19790,1068,7.123432497898269,Monocytes
cell_00676,15117,1031,10.650804959086763,Monocytes
cell_00677,20216,1090,57.56520273747008,Monocytes
cell_00678,11567,980,13.831848390892882,Monocytes
cell_00679,12384,996,7.877232849253934,Monocytes
cell_00680,15637,1025,6.423565590263857,Monocytes
cell_00681,19533,1105,11.08625436858151,Monocytes
cell_00682,18453,1073,11.847859635918795,Monocytes
cell_00683,11522,958,8.322534728706374,Monocytes
cell_00684,19526,1073,7.577046695814888,Monocytes
cell_00685,18688,1076,8.401103046851588,Monocytes
cell_00686,20210,1096,6.97733189676447,Monocytes
cell_00687,12534,993,13.84805753291716,Monocytes
cell_00688,14029,1021,12.646133135841332,Monocytes
cell_00689,12936,997,11.451736253901728,Monocytes
cell_00690,10983,961,11.153434416247986,Monocytes
cell_00691,10035,904,8.636491423814316,Monocytes
cell_00692,20289,1107,5.081695479067404,Monocytes
cell_00693,12497,988,5.934651031235482,Monocytes
cell_00694,18377,1076,10.000287996742882,Monocytes
cell_00695,12696,976,6.166830493221285,Monocytes
cell_00696,9918,940,33.886275601131,Monocytes
cell_00697,20250,1073,59.93857870555217,Monocytes
cell_00698,17810,1071,9.281287218803289,Monocytes
cell_00699,19151,1066,8.06576051354044,Monocytes
cell_00700,17163,1074,7.090537121628078,Monocytes
cell_00701,11682,949,9.241369354675498,Monocytes
cell_00702,9384,949,34.91759859196454,Monocytes
cell_00703,17438,1069,12.554153351249028,Monocytes
cell_00704,10225,931,33.68001770860253,Monocytes
cell_00705,13416,1011,8.400192521266746,Monocytes
cell_00706,9548,928,31.447152345019237,Monocytes
cell_00707,10809,951,11.367103407316781,Monocytes
cell_00708,17908,1067,6.74830870310992,Monocytes
cell_00709,10649,949,13.334839188158751,Monocytes
cell_00710,14803,1023,6.8719492887163325,Monocytes
cell_00711,10879,980,9.426347153917005,Monocytes
cell_00712,10087,950,10.535610326569444,Monocytes
cell_00713,18700,1081,7.296590335458967,Monocytes
cell_00714,8910,916,30.398081307430186,Monocytes
cell_00715,19638,1072,7.704078120815538,Monocytes
cell_00716,16776,1068,10.645347336301313,Monocytes
cell_00717,18832,1073,7.103534280614567,Monocytes
cell_00718,11609,943,5.245452066463426,Monocytes
cell_00719,18055,1085,11.477223943287749,Monocytes
cell_00720,11158,974,7.1394354043203485,Monocytes
cell_00721,13373,1003,7.32019192152559,Monocytes
cell_00722,15498,1042,9.527320372573369,Monocytes
cell_00723,9454,923,9.50848464780995,Monocytes
cell_00724,11931,995,7.722183044919921,Monocytes
cell_00725,8791,904,9.019752038042657,Monocytes
cell_00726,12947,995,8.169202848621696,Monocytes
cell_00727,20896,1064,6.430973912680208,Monocytes
cell_00728,14912,1013,9.049363178687917,Monocytes
cell_00729,9190,921,7.971696808442635,Monocytes
cell_00730,12446,979,4.020351242696806,Monocytes
cell_00731,19828,1091,11.954480631634217,Monocytes
cell_00732,12724,994,10.498001152748476,Monocytes
cell_00733,16412,1050,10.742944623647377,Monocytes
cell_00734,11002,980,22.054690639018318,Monocytes
cell_00735,20053,1072,17.25236965245284,Monocytes
cell_00736,9949,923,13.848248363825649,Monocytes
cell_00737,13027,991,12.596677204949753,Monocytes
cell_00738,13314,996,8.95619272188899,Monocytes
cell_00739,20000,1069,47.18976194570232,Monocytes
cell_00740,19602,1080,11.65663738870749,Monocytes
cell_00741,11012,956,9.99418744061908,Monocytes
cell_00742,19291,1066,5.995306493993538,Monocytes
cell_00743,18987,1058,7.451893720130569,Monocytes
cell_00744,13013,1012,12.228391897421888,Monocytes
cell_00745,14528,993,8.750376816807728,Monocytes
cell_00746,9595,953,7.891451625553028,Monocytes
cell_00747,13723,1006,9.026591311847136,Monocytes
cell_00748,14578,1020,5.213579385813168,Monocytes
cell_00749,13801,1026,10.71830944717708,Monocytes
cell_00750,17012,1048,9.537680747313155,Monocytes
cell_00751,19353,1067,5.489342712316693,Monocytes
cell_00752,10809,941,7.442205089149634,Monocytes
cell_00753,18305,1059,6.084691826999933,Monocytes
cell_00754,18436,1065,10.441982633767436,Monocytes
cell_00755,8409,901,8.01565319861766,Monocytes
cell_00756,16466,1039,6.658466013013212,Monocytes
cell_00757,9233,932,47.384251825543956,Monocytes
cell_00758,10061,980,11.163117373624658,Monocytes
cell_00759,12639,982,8.871327617820292,Monocytes
cell_00760,18517,1072,9.169965371458893,Monocytes
cell_00761,14226,1031,8.845813528450236,Monocytes
cell_00762,20066,1074,9.372843936325381,Monocytes
cell_00763,10197,928,7.529251251300096,Monocytes
cell_00764,19499,1073,14.2140443264395,Monocytes
cell_00765,15273,1032,10.517267893067869,Monocytes
cell_00766,15189,1030,8.261368787942377,Monocytes
cell_00767,15099,1049,9.221616134987048,Monocytes
cell_00768,13061,1013,54.33496905593596,Monocytes
cell_00769,15263,1027,6.877371922093197,Monocytes
cell_00770,15211,1016,12.334782187904434,Monocytes
cell_00771,19128,1075,4.8598145755930116,Monocytes
cell_00772,16667,1048,7.048612643701061,Monocytes
cell_00773,17128,1034,12.34036942671392,Monocytes
cell_00774,18689,1062,12.507202892879008,Monocytes
cell_00775,9874,954,8.584975345464363,Monocytes
cell_00776,20030,1077,6.894972775062088,Monocytes
cell_00777,13003,1020,6.7431659851957235,Monocytes
cell_00778,16479,1058,8.90980719967234,Monocytes
cell_00779,16378,1037,6.109706106444138,Monocytes
cell_00780,10099,951,9.786149044844105,Monocytes
cell_00781,16519,1023,10.492653736300841,Monocytes
cell_00782,12949,997,8.70777330745787,Monocytes
cell_00783,13770,1000,9.730842092714568,Monocytes
cell_00784,11376,985,34.487334030191235,Monocytes
cell_00785,17618,1078,8.997070564330025,Monocytes
cell_00786,11792,968,8.898807982983147,Monocytes
cell_00787,10142,937,33.243863374036366,Monocytes
cell_00788,17003,1050,10.045176785320722,Monocytes
cell_00789,9659,913,21.84729932272077,Monocytes
cell_00790,13972,1033,9.763558281016607,Monocytes
cell_00791,14039,1014,9.30653107450576,Monocytes
cell_00792,12041,973,9.35388587279226,Monocytes
cell_00793,13234,996,10.763463595654375,Monocytes
cell_00794,18839,1060,5.856658379710809,Monocytes
cell_00795,10302,983,12.024085139143452,Monocytes
cell_00796,16879,1050,8.896114137642972,Monocytes
cell_00797,16895,1054,5.438404141688509,Monocytes
cell_00798,11717,971,6.689219421955513,Monocytes
cell_00799,19960,1080,6.801478212320622,Monocytes
cell_00800,21312,1089,35.904739440514376,Monocytes
cell_00801,15979,1017,9.047803602374621,Monocytes
cell_00802,11679,979,36.48987416865442,Monocytes
cell_00803,14659,1021,7.810180407671901,Monocytes
cell_00804,14536,1005,7.787250765711476,Monocytes
cell_00805,8765,910,6.307737362792502,Monocytes
cell_00806,15924,1035,10.409429506019965,Monocytes
cell_00807,18323,1044,12.333220830168534,Monocytes
cell_00808,15772,1036,7.691480049081889,Monocytes
cell_00809,12096,978,7.684366063234009,Monocytes
cell_00810,12835,1017,11.285420543104276,Monocytes
cell_00811,18095,1056,9.268379316034514,Monocytes
cell_00812,17701,1065,7.312580163428259,Monocytes
cell_00813,19695,1097,9.138255657964525,Monocytes
cell_00814,9988,929,5.941083348139554,Monocytes
cell_00815,9391,931,7.745394276310955,Monocytes
cell_00816,19453,1080,7.825790236598714,Monocytes
cell_00817,9380,917,9.7189097948424,Monocytes
cell_00818,17392,1057,12.268850465534802,Monocytes
cell_00819,14840,1041,10.082719355123416,Monocytes
cell_00820,15949,1028,8.696903525819302,Monocytes
cell_00821,20518,1069,9.130924819288385,Monocytes
cell_00822,9822,969,7.231776256915076,Monocytes
cell_00823,15262,1009,10.61598772319353,Monocytes
cell_00824,15828,1049,13.478689247751962,Monocytes
cell_00825,17544,1042,8.90353772513737,Monocytes
cell_00826,10004,936,10.58102151666852,Monocytes
cell_00827,10153,937,7.098055284456482,Monocytes
cell_00828,11243,971,10.569575950847899,Monocytes
cell_00829,17121,1053,11.41895072260292,Monocytes
cell_00830,14985,1024,10.344027170517487,Monocytes
cell_00831,18624,1073,12.23588388086623,Monocytes
cell_00832,12393,979,11.377596781278728,Monocytes
cell_00833,18932,1060,10.443834766300682,Monocytes
cell_00834,16224,1044,9.496666890815202,Monocytes
cell_00835,20661,1087,9.447414529631246,Monocytes
cell_00836,19745,1099,7.7589499928656975,Monocytes
cell_00837,17264,1058,5.131467893887777,Monocytes
cell_00838,17504,1056,11.263738758851307,Monocytes
cell_00839,17389,1048,10.831907396620476,Monocytes
cell_00840,10452,936,11.295723871503286,Monocytes
cell_00841,10793,943,3.7966887553286104,Monocytes
cell_00842,15796,1032,6.773647835983248,Monocytes
cell_00843,17219,1054,8.849846823477304,Monocytes
cell_00844,18772,1082,8.65770771267848,Monocytes
cell_00845,16402,1046,10.608370533393728,Monocytes
cell_00846,16204,1039,45.67553704752445,Monocytes
cell_00847,13529,1018,6.624336704958293,Monocytes
cell_00848,19107,1079,13.71762170903105,Monocytes
cell_00849,13164,999,11.418013014134923,Monocytes
cell_00850,14824,1030,7.429060789773506,Monocytes
cell_00851,19430,1066,11.91552419163957,Monocytes
cell_00852,10166,947,4.996190415839096,Monocytes
cell_00853,13954,1027,9.36210040515295,Monocytes
cell_00854,19444,1082,11.302586283849296,Monocytes
cell_00855,14252,1031,12.914707328313273,Monocytes
cell_00856,19811,1069,4.665906319959912,Monocytes
cell_00857,15888,1034,6.448776783099191,Monocytes
cell_00858,19229,1074,9.293804454526429,Monocytes
cell_00859,9788,942,8.043009353578872,Monocytes
cell_00860,15629,1046,7.6753597013357515,Monocytes
cell_00861,15809,1048,5.879260636641476,Monocytes
cell_00862,12189,989,6.809144246971691,Monocytes
cell_00863,11807,990,37.495697045373994,Monocytes
cell_00864,17570,1050,7.820769161880693,Monocytes
cell_00865,13241,1018,8.680447433259534,Monocytes
cell_00866,17223,1054,4.659467124251829,Monocytes
cell_00867,10097,942,23.20888736082585,Monocytes
cell_00868,9456,928,31.764515635719548,Monocytes
cell_00869,16907,1054,5.781660498053818,Monocytes
cell_00870,19287,1069,10.182256547986006,Monocytes
cell_00871,15755,1043,5.075108542564941,Monocytes
cell_00872,9165,918,8.648129361905514,Monocytes
cell_00873,16821,1066,12.641989408939958,Monocytes
cell_00874,16591,1030,10.058418797093903,Monocytes
cell_00875,10972,948,10.626509043243367,Monocytes
cell_00876,11977,962,6.592562710399583,Monocytes
cell_00877,9836,969,10.931737446349084,Monocytes
cell_00878,19957,1079,8.748430774732018,Monocytes
cell_00879,11510,1007,10.28063682158639,Monocytes
cell_00880,18719,1064,7.908501155369113,Monocytes
cell_00881,17198,1033,11.223700371981671,Monocytes
cell_00882,14388,1034,9.221777431324647,Monocytes
cell_00883,12328,1004,10.073099197574752,Monocytes
cell_00884,12411,1002,9.515413019678016,Monocytes
cell_00885,15811,1033,12.590083371745003,Monocytes
cell_00886,11115,962,10.770058259273519,Monocytes
cell_00887,13559,1014,8.860301483998482,Monocytes
cell_00888,15621,1037,10.810017289078298,Monocytes
cell_00889,14048,1020,8.966830278249853,Monocytes
cell_00890,14281,1024,14.336922990817186,Monocytes
cell_00891,10057,943,19.498715180556026,Monocytes
cell_00892,12986,1023,11.596532444551656,Monocytes
cell_00893,11306,981,28.029723610303936,Monocytes
cell_00894,11022,938,5.326103293897528,Monocytes
cell_00895,14476,1012,9.998590705384876,Monocytes
cell_00896,15326,1056,10.200237412742753,Monocytes
cell_00897,15843,1042,12.05088605376758,Monocytes
cell_00898,14779,1017,11.618663264685065,Monocytes
cell_00899,16884,1038,14.117690044504732,Monocytes
cell_00900,15524,1011,13.592201886918637,NK cells
cell_00901,10806,966,6.461198785302208,NK cells
cell_00902,10990,948,7.251067709821898,NK cells
cell_00903,10758,946,6.382774925047937,NK cells
cell_00904,16067,1020,11.262019910405668,NK cells
cell_00905,9109,915,12.655118539641613,NK cells
cell_00906,19574,1091,7.759127525425449,NK cells
cell_00907,9008,924,8.224275653490391,NK cells
cell_00908,16978,1066,7.676174999560689,NK cells
cell_00909,12385,1021,6.553200554366356,NK cells
cell_00910,14666,1011,15.696750758197458,NK cells
cell_00911,20099,1074,8.900358793123038,NK cells
cell_00912,9642,918,37.82191988640458,NK cells
cell_00913,10382,969,14.828731783606836,NK cells
cell_00914,18371,1095,14.265315628602131,NK cells
cell_00915,9668,934,18.05172849406812,NK cells
cell_00916,15861,1047,8.765446702804148,NK cells
cell_00917,13189,990,10.206742620925652,NK cells
cell_00918,11167,983,13.666814095911395,NK cells
cell_00919,19320,1070,9.504268166821833,NK cells
cell_00920,17863,1065,6.5985645463699,NK cells
cell_00921,18779,1069,8.623178738933234,NK cells
cell_00922,18596,1075,4.2839994293315655,NK cells
cell_00923,11312,982,10.34222931475006,NK cells
cell_00924,17230,1070,11.056217661071338,NK cells
cell_00925,13130,1010,9.042475693676245,NK cells
cell_00926,10395,943,12.444464850091599,NK cells
cell_00927,15257,1006,6.856288529173867,NK cells
cell_00928,19599,1067,10.419463121007185,NK cells
cell_00929,9260,920,31.18801406242656,NK cells
cell_00930,12676,994,7.745960577650759,NK cells
cell_00931,9287,917,7.575879585778636,NK cells
cell_00932,9970,954,10.47296838080931,NK cells
cell_00933,11497,982,31.903569473611686,NK cells
cell_00934,9018,925,9.386254837522376,NK cells
cell_00935,19616,1064,11.360402497884785,NK cells
cell_00936,9621,952,8.655557389954646,NK cells
cell_00937,15850,1035,8.670763216215805,NK cells
cell_00938,8898,933,40.983420051451816,NK cells
cell_00939,17344,1031,6.665893017651816,NK cells
cell_00940,10231,940,7.1720559802073325,NK cells
cell_00941,19713,1065,13.305480093720275,NK cells
cell_00942,17119,1030,11.65005443044127,NK cells
cell_00943,17172,1061,8.15455117367953,NK cells
cell_00944,15150,1021,7.612015638271336,NK cells
cell_00945,17363,1056,7.746911956965969,NK cells
cell_00946,10437,947,11.991131443149163,NK cells
cell_00947,13188,997,8.571950023320255,NK cells
cell_00948,13238,1006,7.021915390614125,NK cells
cell_00949,15558,1031,11.4213902969855,NK cells
cell_00950,13443,1002,6.499619803483096,NK cells
cell_00951,19629,1091,8.330346422914833,NK cells
cell_00952,12757,1011,5.4372152975377865,NK cells
cell_00953,15717,1039,6.6954221778052565,NK cells
cell_00954,15137,1027,6.982987388867692,NK cells
cell_00955,16889,1048,4.146193375256946,NK cells
cell_00956,9528,912,45.02315956641215,NK cells
cell_00957,17527,1057,8.95872709742771,NK cells
cell_00958,13196,1008,7.145151897984226,NK cells
cell_00959,10253,954,11.430767820293159,NK cells
cell_00960,16620,1065,7.288933409161586,NK cells
cell_00961,10563,965,59.59554602822187,NK cells
cell_00962,9601,940,7.048107567665338,NK cells
cell_00963,10603,946,24.33972833844218,NK cells
cell_00964,17960,1047,5.803703763689177,NK cells
cell_00965,9541,934,35.30868441063429,NK cells
cell_00966,18462,1076,10.204230280554617,NK cells
cell_00967,14771,1032,6.005396307213007,NK cells
cell_00968,8213,908,6.84501383407958,NK cells
cell_00969,8587,904,7.553774688099253,NK cells
cell_00970,9696,957,9.53894274233647,NK cells
cell_00971,15033,1053,9.71731892141551,NK cells
cell_00972,15818,1041,6.5700165756156395,NK cells
cell_00973,19523,1061,9.334867444514845,NK cells
cell_00974,11827,980,10.527971084206609,NK cells
cell_00975,12910,982,53.84083202008403,NK cells
cell_00976,11226,973,28.16481964627456,NK cells
cell_00977,15622,1027,8.53184686162643,NK cells
cell_00978,13527,1014,8.866132017888164,NK cells
cell_00979,16420,1059,6.188494981096855,NK cells
cell_00980,12950,976,8.405044383673212,NK cells
cell_00981,17010,1043,17.43404600644334,NK cells
cell_00982,17688,1036,9.287101908553282,NK cells
cell_00983,8739,926,59.62614689213045,NK cells
cell_00984,10238,961,9.347715991430302,NK cells
cell_00985,15956,1060,6.605341674962766,NK cells
cell_00986,17904,1082,9.278299529840012,NK cells
cell_00987,13760,1023,8.854377347982775,NK cells
cell_00988,14376,1023,13.158514419658868,NK cells
cell_00989,18667,1078,7.9539290724428895,NK cells
cell_00990,12410,983,12.287438451625633,NK cells
cell_00991,16469,1020,7.399096254823976,NK cells
cell_00992,18314,1087,10.160792446150527,NK cells
cell_00993,12373,1013,6.349790271302503,NK cells
cell_00994,8514,915,10.601770925702086,NK cells
cell_00995,11542,982,7.408737279217401,NK cells
cell_00996,19063,1064,5.542279943242309,NK cells
cell_00997,11386,965,25.70750273837995,NK cells
cell_00998,17540,1058,10.296883239507611,NK cells
cell_00999,13729,1012,9.222508565048438,NK cells
cell_01000,12115,1000,5.627047667720954,NK cells
cell_01001,9462,927,10.112038753665246,NK cells
cell_01002,8768,931,26.28918655101854,NK cells
cell_01003,13558,1001,7.232174819906712,NK cells
cell_01004,17654,1060,7.906393318983248,NK cells
cell_01005,16697,1021,9.373914310159618,NK cells
cell_01006,13460,1010,8.925970908455023,NK cells
cell_01007,11546,960,7.629859765632788,NK cells
cell_01008,16656,1049,7.998747932036418,NK cells
cell_01009,17252,1043,6.8816779181864085,NK cells
cell_01010,11268,969,25.407171628788245,NK cells
cell_01011,11463,954,74.05040817026953,NK cells
cell_01012,9406,915,5.619656605895066,NK cells
cell_01013,15118,1025,7.305059464569111,NK cells
cell_01014,21025,1082,10.340263498746355,NK cells
cell_01015,13138,1008,8.819186926227188,NK cells
cell_01016,19585,1071,10.53716651612598,NK cells
cell_01017,16519,1071,9.168911666476973,NK cells
cell_01018,10655,971,10.044659018337141,NK cells
cell_01019,10385,968,7.299826346760296,NK cells
cell_01020,9740,919,7.219272103436908,NK cells
cell_01021,20616,1090,8.667315943349863,NK cells
cell_01022,14503,1029,9.782392053860434,NK cells
cell_01023,15061,1036,6.929153577942077,NK cells
cell_01024,8905,928,7.931948966432917,NK cells
cell_01025,12584,969,7.6116213731385995,NK cells
cell_01026,18399,1056,15.980362514786165,NK cells
cell_01027,19057,1072,9.532751292733721,NK cells
cell_01028,17759,1055,9.248886778065984,NK cells
cell_01029,21205,1110,7.60053720482789,NK cells
cell_01030,18091,1061,3.9802705544912347,NK cells
cell_01031,13619,1010,11.38072399889834,NK cells
cell_01032,16500,1076,6.1809289432442425,NK cells
cell_01033,15276,1041,8.122902258507397,NK cells
cell_01034,16320,1054,6.134994587785899,NK cells
cell_01035,15259,1022,11.811416405244653,NK cells
cell_01036,16602,1045,10.917023443104513,NK cells
cell_01037,16661,1068,5.621026052795227,NK cells
cell_01038,17179,1050,6.881518858724994,NK cells
cell_01039,11611,987,8.983867627388467,NK cells
cell_01040,10794,974,4.366905824691895,NK cells
cell_01041,15456,1029,4.675958664124013,NK cells
cell_01042,16438,1072,7.702100278990727,NK cells
cell_01043,11478,986,23.65535735507644,NK cells
cell_01044,9209,922,25.973900874132234,NK cells
cell_01045,14027,1005,11.368984864335927,NK cells
cell_01046,15274,1008,9.347167708993439,NK cells
cell_01047,18788,1077,7.860847259218236,NK cells
cell_01048,9561,933,11.035273394023278,NK cells
cell_01049,15787,1031,6.741798028651844,NK cells
cell_01050,16930,1038,10.467106495956893,NK cells
cell_01051,19000,1074,12.75811004763776,NK cells
cell_01052,12122,987,7.651863168609394,NK cells
cell_01053,13449,1018,5.368172184330013,NK cells
cell_01054,11572,974,27.228895393204343,NK cells
cell_01055,20345,1082,7.398202815588315,NK cells
cell_01056,21058,1080,7.830617114047474,NK cells
cell_01057,16607,1068,8.59930072779647,NK cells
cell_01058,13593,988,9.482982851083994,NK cells
cell_01059,9114,938,8.601832337034693,NK cells
cell_01060,17537,1052,7.010682526798603,NK cells
cell_01061,10445,977,6.394157418788295,NK cells
cell_01062,18903,1076,5.860010139665019,NK cells
cell_01063,15683,1034,9.579771408179715,NK cells
cell_01064,11274,965,10.784883357064833,NK cells
cell_01065,14482,1012,6.466578302233715,NK cells
cell_01066,13909,1029,10.446409143519281,NK cells
cell_01067,19625,1073,7.793949251291527,NK cells
cell_01068,14889,1033,9.508364672818956,NK cells
cell_01069,18250,1061,12.19833686676328,NK cells
cell_01070,10152,958,8.749259229918572,NK cells
cell_01071,9794,959,6.173915004521731,NK cells
cell_01072,17193,1058,5.924915740442846,NK cells
cell_01073,11407,966,8.899251554372736,NK cells
cell_01074,12777,1015,6.706925900730923,NK cells
cell_01075,8961,919,11.60470754896778,NK cells
cell_01076,20154,1087,7.496573701560195,NK cells
cell_01077,13254,1005,9.091297172584355,NK cells
cell_01078,8475,926,29.487174821681528,NK cells
cell_01079,10349,955,27.224547102854054,NK cells
cell_01080,18808,1076,7.328242117119532,NK cells
cell_01081,10915,960,9.142345835479512,NK cells
cell_01082,15596,1030,9.701898389255872,NK cells
cell_01083,11568,966,8.159915837742256,NK cells
cell_01084,18096,1033,7.6316950950905005,NK cells
cell_01085,13880,1022,6.620690169357264,NK cells
cell_01086,18404,1069,10.654775261043856,NK cells
cell_01087,15724,1055,11.062953767591878,NK cells
cell_01088,13930,1035,10.153463464825132,NK cells
cell_01089,8972,924,12.574980878836628,NK cells
cell_01090,10940,939,9.570277208018679,NK cells
cell_01091,15330,1034,6.602433234771363,NK cells
cell_01092,11165,975,8.398491298156793,NK cells
cell_01093,12406,993,50.202751795164716,NK cells
cell_01094,13231,1034,53.85552082318108,NK cells
cell_01095,20022,1081,11.64802209045113,NK cells
cell_01096,15061,1025,10.269649587320224,NK cells
cell_01097,8800,933,6.696111014242365,NK cells
cell_01098,12066,971,13.931557008394382,NK cells
cell_01099,16779,1048,6.151527041747279,NK cells
cell_01100,18308,1052,9.13386118672565,NK cells
cell_01101,14518,1003,10.805289849035788,NK cells
cell_01102,13343,998,11.12407532285152,NK cells
cell_01103,20800,1088,6.383255830434706,NK cells
cell_01104,10846,975,6.77782798747274,NK cells
cell_01105,10099,948,7.506695333523291,NK cells
cell_01106,14376,1009,7.814103869941877,NK cells
cell_01107,20343,1097,11.283005704687854,NK cells
cell_01108,19363,1052,51.477291824274616,NK cells
cell_01109,13347,1021,8.386145686636434,NK cells
cell_01110,21391,1073,6.857849038848547,NK cells
cell_01111,13635,989,9.65564319527799,NK cells
cell_01112,11203,973,8.20296240423432,NK cells
cell_01113,16605,1054,8.341278762177055,NK cells
cell_01114,15845,1065,12.662016175702284,NK cells
cell_01115,18474,1078,5.370400260777841,NK cells
cell_01116,13319,1001,6.587775710130858,NK cells
cell_01117,15463,1010,9.33399838928267,NK cells
cell_01118,16198,1029,7.198863512980511,NK cells
cell_01119,14037,1014,8.097337490403994,NK cells
cell_01120,17906,1061,9.72767800171521,NK cells
cell_01121,17770,1055,10.777445623733616,NK cells
cell_01122,14467,1035,7.9868361709189815,NK cells
cell_01123,19615,1071,10.364666135496428,NK cells
cell_01124,16865,1066,7.369836949064752,NK cells
cell_01125,10338,992,8.585518118754868,NK cells
cell_01126,9232,929,8.840665085856484,NK cells
cell_01127,12119,1001,9.468021907275537,NK cells
cell_01128,19463,1080,8.43622248294174,NK cells
cell_01129,10883,970,5.049433654967733,NK cells
cell_01130,11509,988,10.418568372615402,NK cells
cell_01131,11945,992,32.080330213637616,NK cells
cell_01132,16402,1056,10.714237500408355,NK cells
cell_01133,16284,1050,6.41564983265685,NK cells
cell_01134,10010,952,30.242817690900488,NK cells
cell_01135,10775,956,10.408311358613021,NK cells
cell_01136,19547,1082,46.60165074754771,NK cells
cell_01137,10262,937,7.7393699017870095,NK cells
cell_01138,19328,1068,12.232671647989966,NK cells
cell_01139,9527,937,32.816133621267475,NK cells
cell_01140,14678,1009,10.248926338000054,NK cells
cell_01141,16238,1028,6.808086413101814,NK cells
cell_01142,12083,988,8.10517614871751,NK cells
cell_01143,9164,931,42.31365835013025,NK cells
